local_time,pred_next_kJ_per_h,form_score,ATL,CTL,TSB,roll7_kilojoules,roll28_kilojoules,trainer,temp_z
2025-05-19 18:56:11,521.7062727510472,36.73218446565724,613.5741392004658,635.3367551455239,21.762615945058087,4349.6,17081.3,0,
2025-05-21 18:27:49,547.3713634872781,53.700337787117796,623.1889974824508,636.5240701830046,13.335072700553837,4115.2,16548.3,0,
2025-05-23 18:05:51,511.55878871197723,30.023302476046965,659.4662344787704,642.6220426719351,-16.844191806835283,4872.2,15897.0,0,-0.4876537097346121
2025-05-25 19:17:54,564.0303869293351,64.714242505233,683.0999022102153,647.1954281598468,-35.90447405036855,4958.099999999999,16092.1,0,0.03661563690840077
2025-05-26 16:12:43,590.0983300276664,81.94873662074272,773.2235770973239,663.9688703131502,-109.25470678417366,5349.2,16682.0,0,0.21137208578940506
2025-05-27 19:31:13,630.4938645006976,100.0,758.6835051173302,663.9696027421769,-94.71390237515334,5108.5,17346.0,0,-0.3128972608536078
2025-05-29 10:10:48,578.8320531625525,74.50017876548414,850.9925652639787,682.5129816877509,-168.4795835762278,5894.700000000001,18798.100000000002,0,0.9103978813134223
2025-05-30 18:01:15,571.0232022559449,69.33745478334392,823.3307825597403,681.5880135359669,-141.74276902377346,6537.900000000001,18602.199999999997,0,1.434667227956435
2025-06-02 11:43:45,636.3099211055412,100.0,826.0200376143331,691.1639035967751,-134.85613401755802,6752.8,19236.3,1,0.5608849835514136
2025-06-10 18:18:46,559.978260163906,62.03522964140036,898.2627339706055,707.105185177366,-191.15754879323947,7284.5,20605.0,0,0.7356414324324179
2025-06-11 18:33:14,639.1246893551734,100.0,890.7462962385918,710.274326986831,-180.4719692517607,6766.2,21446.8,0,0.9103978813134223
2025-06-12 18:32:00,557.7763774071182,60.57948243220332,931.1826272419717,721.6673403525133,-209.51528688945837,7296.7,22641.3,0,1.2599107790754307
2025-06-14 09:43:41,553.7445619476072,57.91389813390817,986.8033534243816,736.427419741981,-250.3759336824006,7193.6,23990.3,0,0.5608849835514136
2025-06-26 20:55:55,443.32222072275425,0.0,411.9987985696913,641.0537965056955,229.05499793600416,866.9,19066.0,0,
2025-06-28 15:02:24,440.9110163331193,0.0,359.58774465031894,621.1931992033276,261.60545455300866,433.1,17817.7,0,
2025-07-05 11:06:12,574.6015941842184,71.70326379244693,438.58403039645,629.0000535833884,190.41602318693845,1386.1,18632.0,0,0.38612853467040936
2025-07-07 19:47:10,555.775111100749,59.25637027676457,481.597906894331,632.1222595039089,150.52435260957793,2147.8,18642.600000000002,0,-0.8371666074966206
2025-07-10 19:55:04,568.711468099799,67.80908069719408,459.769605883987,622.2092221017479,162.43961621776083,2995.8,17616.9,1,0.9103978813134223
2025-07-11 19:23:32,581.3923327625193,76.19287555913769,526.9603760086293,630.2627467801854,103.30237077155607,3960.3,17915.5,0,0.7356414324324179
2025-07-14 15:15:17,520.2271629744614,35.75428956061609,482.8838736864285,618.2512853862387,135.3674116998102,4280.1,17982.6,0,
2025-07-17 19:27:42,620.6257596150906,100.0,499.0337312154634,617.9206823407325,118.88695112526909,3931.3,17691.1,0,0.5608849835514136
2025-08-10 19:53:14,468.3150301461544,1.4332330668918951,292.71144277243553,562.3444300737945,269.6329873013589,1248.2,13378.7,0,
2025-08-20 19:50:04,569.2364676690588,68.15617758753645,299.6501215758068,552.0577539637883,252.4076323879815,1334.5,12272.800000000001,1,0.21137208578940506
2025-08-21 19:29:15,605.6354117056627,92.22088359227583,359.53508218876084,556.7032369966132,197.16815480785237,1440.0,11653.6,0,-0.13814081197260353
